customer_id,month,2004,2005,2006
A1,1,1511172.7462817375,398403.77181200526,0
A1,2,41381.10586856564,1404193.0419243756,0
A1,4,0,0,564506.8569422198
A1,5,131196.5878180032,0,0
A1,8,0,129388.31280828183,0
A1,10,0,0,220735.00880240527
A1,11,0,457316.89879247535,0
A10,1,747428.0919235175,0,0
A10,2,0,357396.47182801727,0
A10,3,435158.55647704436,0,233741.35867229078
A10,4,0,0,60212.90110956673
A10,5,480728.81259920826,696067.2785337542,117295.63441638308
A10,7,0,0,267436.93576626235
A10,8,0,0,230894.42178780606
A10,11,0,484425.7327993018,0
A100,1,42254.19149899862,0,0
A11,1,819544.7298429967,0,0
A11,2,501940.267611417,492694.1872432005,0
A11,3,0,0,148870.3418873719
A11,4,493104.1706747486,0,0
A11,5,0,337785.1592132121,103939.8380426736
A11,6,0,412747.3326007605,462784.63745032484
A11,8,0,453981.1397745152,0
A11,9,0,0,92870.55244249609
A11,11,0,0,261661.51686930106
A12,1,744970.5913900606,287857.0611860319,0
A12,2,414392.0628473035,1208185.074684769,0
A12,3,0,0,877581.9079406904
A12,4,0,524412.230961016,179584.62358212197
A12,5,0,859622.0111308442,0
A12,6,0,929412.2185081223,0
A12,7,0,0,133726.62227645543
A12,8,0,0,347129.20917803637
A12,9,190052.90948135412,0,0
A12,10,0,0,86873.25979634102
A12,11,0,64786.88917075248,0
A13,1,633662.2133617835,0,0
A13,2,0,2032310.3518078742,116944.43457233217
A13,3,0,0,1006233.0441265313
A13,4,267850.942218493,0,592900.61200345
A13,5,335559.13464795554,598668.694313541,253182.68167421845
A13,6,0,396743.8957589797,0
A13,7,0,461890.21862626524,0
A13,8,0,0,144684.584400904
A13,9,0,0,250852.63443094314
A13,11,489462.320737293,396753.42053549713,64639.622502200626
A14,1,515466.0383497599,0,0
A14,2,0,1804302.9143360723,0
A14,3,0,0,1161757.8687794432
A14,4,164489.7968041183,469661.34738114284,185060.7176749738
A14,5,0,525985.5769603206,517677.7807808772
A14,6,0,81901.797853292,0
A14,7,0,100564.03017115683,480565.8244212455
A14,8,0,74705.23814742592,0
A14,9,0,0,134151.00171010813
A14,10,0,0,113575.89576141241
A14,11,0,0,478536.5047214451
A14,12,0,0,439357.2974014599
A15,1,794046.6380958601,0,0
A15,2,194809.21761627067,202537.01962092973,215396.73865714023
A15,3,0,0,774678.8955459776
A15,5,0,625410.4184203887,266910.3458486582
A15,6,0,473460.66123002657,345427.60805995273
A15,7,0,196667.3026264642,0
A15,8,0,338998.9444906762,0
A15,9,0,131357.48889637884,0
A15,11,0,0,207100.2898353762
A16,1,722016.1359932448,0,0
A16,2,0,420862.50242988224,164943.1184562326
A16,3,0,0,1881078.7342812861
A16,5,0,284754.8099306035,311474.0553831038
A16,6,0,160569.68780572174,0
A16,7,0,0,898586.4708353793
A16,8,0,270002.6033937126,0
A16,9,364985.7276955651,0,0
A16,10,0,244509.82330643374,0
A16,12,0,0,220259.01540759314
A17,1,1037959.0935924993,0,0
A17,2,0,273807.0367015116,0
A17,3,473415.6501546759,0,1410309.524019923
A17,5,0,572539.7653772077,0
A17,6,0,364420.47122575017,0
A17,8,0,94786.89574083693,253374.92592926192
A17,9,0,434989.722023666,0
A17,11,0,350576.8075273035,0
A18,1,1018211.5486238264,0,0
A18,2,0,68566.7458934538,0
A18,3,0,0,1545244.9807261217
A18,5,0,384469.58122360834,171975.29158526304
A18,7,0,453302.4307889516,0
A18,9,485279.9026373809,0,347293.5402738217
A18,10,0,271505.7482577783,0
A18,11,0,0,441304.06732656364
A18,12,0,368363.71596372983,0
A19,1,684822.3279475017,499107.43791855144,354958.2604938627
A19,2,0,486498.2134348405,0
A19,3,328667.37592532753,0,420863.351582455
A19,4,0,484196.0060581509,0
A19,5,0,327032.76620186743,0
A19,7,0,0,53301.96671294335
A19,8,0,399549.3662798816,0
A19,10,0,0,343738.808421468
A19,11,0,1184766.3060764864,0
A2,1,735263.7999072412,0,0
A2,2,0,412993.4051920663,258293.32288032625
